Lt,Y
0,0
0.000005,0.0388958
0.000015,0.146651332
0.000025,0.333463215
0.000035,0.372871872
0.000045,0.568007789
0.000055,0.596082745
0.000065,0.691324073
0.000075,0.800821566
0.000085,0.902188093
0.000095,0.922149676
0.00011,0.975808451
0.000165,0.990870966
